chantype,com_mech,num_procs,num_prod,num_cons,iterations,capacity,is_receiver,rank,byte,byte_indi,time,bandwidth,implementation,node
PT2PT,SPSC,2,1,1,10,0,Consumer,0,1048576,1048576,0.114172765,0.008553375,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Producer,1,1048576,1048576,0.114172758,0.008553376,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Consumer,0,2097152,2097152,0.227946007,0.008568367,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Producer,1,2097152,2097152,0.227945937,0.008568369,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Consumer,0,4194304,4194304,0.456067983,0.008565061,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Producer,1,4194304,4194304,0.456068035,0.008565060,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Consumer,0,8388608,8388608,0.920753010,0.008484903,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Producer,1,8388608,8388608,0.920753023,0.008484903,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Consumer,0,4,4,0.000007511,0.000495978,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Producer,1,4,4,0.000007511,0.000495978,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Consumer,0,8,8,0.000003770,0.001976124,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Producer,1,8,8,0.000003770,0.001976124,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Consumer,0,16,16,0.000004359,0.003418874,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Producer,1,16,16,0.000004358,0.003418874,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Consumer,0,32,32,0.000006971,0.004275247,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Producer,1,32,32,0.000006971,0.004275247,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Consumer,0,64,64,0.000012447,0.004788599,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Producer,1,64,64,0.000012447,0.004788596,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Consumer,0,128,128,0.000022666,0.005259365,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Producer,1,128,128,0.000022666,0.005259365,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Consumer,0,256,256,0.000043665,0.005460213,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Producer,1,256,256,0.000043665,0.005460215,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Consumer,0,512,512,0.000089238,0.005343432,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Producer,1,512,512,0.000089238,0.005343432,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Consumer,0,1024,1024,0.000168699,0.005653105,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Producer,1,1024,1024,0.000168699,0.005653103,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Consumer,0,2048,2048,0.000338861,0.005628703,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Producer,1,2048,2048,0.000338861,0.005628703,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Consumer,0,4096,4096,0.000670132,0.005692453,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Producer,1,4096,4096,0.000670132,0.005692453,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Consumer,0,8192,8192,0.001319106,0.005783762,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Producer,1,8192,8192,0.001319106,0.005783760,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Consumer,0,16384,16384,0.002617136,0.005830339,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Producer,1,16384,16384,0.002617137,0.005830337,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Consumer,0,32768,32768,0.005111640,0.005970213,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Producer,1,32768,32768,0.005111640,0.005970212,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Consumer,0,65536,65536,0.010013821,0.006095092,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Producer,1,65536,65536,0.010013824,0.006095090,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Consumer,0,131072,131072,0.020011327,0.006100061,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Producer,1,131072,131072,0.020011335,0.006100058,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Consumer,0,262144,262144,0.040007004,0.006102447,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Producer,1,262144,262144,0.040007013,0.006102446,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Consumer,0,524288,524288,0.080133185,0.006093371,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Producer,1,524288,524288,0.080133177,0.006093372,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Consumer,0,1048576,1048576,0.160075011,0.006100656,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Producer,1,1048576,1048576,0.160075022,0.006100655,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Consumer,0,2097152,2097152,0.320117579,0.006101274,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Producer,1,2097152,2097152,0.320117569,0.006101274,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Consumer,0,4194304,4194304,0.640144590,0.006102137,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Producer,1,4194304,4194304,0.640144348,0.006102139,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Consumer,0,8388608,8388608,1.280555842,0.006100866,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,1,Producer,1,8388608,8388608,1.280555883,0.006100866,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Consumer,0,4,4,0.000006643,0.000560818,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Producer,1,4,4,0.000006643,0.000560818,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Consumer,0,8,8,0.000003161,0.002356735,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Producer,1,8,8,0.000003161,0.002356733,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Consumer,0,16,16,0.000003585,0.004156646,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Producer,1,16,16,0.000003585,0.004156646,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Consumer,0,32,32,0.000004765,0.006254685,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Producer,1,32,32,0.000004765,0.006254682,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Consumer,0,64,64,0.000007499,0.007948028,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Producer,1,64,64,0.000007499,0.007948030,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
