chantype,com_mech,num_procs,num_prod,num_cons,iterations,capacity,is_receiver,rank,byte,byte_indi,time,bandwidth,implementation
PT2PT,SPSC,2,1,1,10,0,Consumer,0,4,4,0.000005880,0.000633553,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,4,4,0.000005880,0.000633552,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,8,8,0.000004250,0.001753078,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,8,8,0.000004250,0.001753078,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,16,16,0.000006740,0.002210855,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,16,16,0.000006740,0.002210854,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,32,32,0.000009160,0.003253529,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,32,32,0.000009160,0.003253528,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,64,64,0.000012610,0.004726776,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,64,64,0.000012610,0.004726775,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,128,128,0.000028990,0.004112083,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,128,128,0.000028990,0.004112084,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,256,256,0.000046200,0.005160575,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,256,256,0.000046200,0.005160575,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,512,512,0.000079700,0.005982900,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,512,512,0.000079700,0.005982902,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,1024,1024,0.000214000,0.004456422,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,1024,1024,0.000214000,0.004456422,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,2048,2048,0.000340010,0.005609684,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,2048,2048,0.000340010,0.005609686,OpenMPI
