chantype,com_mech,num_procs,num_prod,num_cons,iterations,capacity,is_receiver,rank,byte,byte_indi,time,bandwidth,implementation
PT2PT,SPSC,2,1,1,10,0,Consumer,0,4,4,0.000006090,0.000611706,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,4,4,0.000006090,0.000611706,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,8,8,0.000004000,0.001862645,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,8,8,0.000004000,0.001862645,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,16,16,0.000005790,0.002573603,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,16,16,0.000005790,0.002573602,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,32,32,0.000008000,0.003725290,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,32,32,0.000008000,0.003725291,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,64,64,0.000015410,0.003867920,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,64,64,0.000015410,0.003867917,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,128,128,0.000029290,0.004069966,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,128,128,0.000029290,0.004069966,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,256,256,0.000045950,0.005188652,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,256,256,0.000045950,0.005188655,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,512,512,0.000099550,0.004789926,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,512,512,0.000099550,0.004789927,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,1024,1024,0.000246820,0.003863845,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,1024,1024,0.000246820,0.003863847,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,2048,2048,0.000335270,0.005688993,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,2048,2048,0.000335270,0.005688994,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,4096,4096,0.000646080,0.005904373,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,4096,4096,0.000646080,0.005904371,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,8192,8192,0.001361720,0.005602763,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,8192,8192,0.001361720,0.005602764,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,16384,16384,0.002650320,0.005757338,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,16384,16384,0.002650320,0.005757339,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,32768,32768,0.005187980,0.005882362,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,32768,32768,0.005187977,0.005882365,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,65536,65536,0.010294640,0.005928829,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,65536,65536,0.010294642,0.005928827,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,131072,131072,0.019849990,0.006149641,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,131072,131072,0.019849992,0.006149640,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,262144,262144,0.041169890,0.005930077,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,262144,262144,0.041169889,0.005930077,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Consumer,0,4,4,0.000008450,0.000440863,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Producer,1,4,4,0.000008450,0.000440863,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Consumer,0,8,8,0.000005220,0.001427314,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Producer,1,8,8,0.000005220,0.001427315,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Consumer,0,16,16,0.000007070,0.002107661,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Producer,1,16,16,0.000007070,0.002107661,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Consumer,0,32,32,0.000008980,0.003318744,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Producer,1,32,32,0.000008980,0.003318745,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Consumer,0,64,64,0.000020490,0.002908963,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Producer,1,64,64,0.000020490,0.002908962,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Consumer,0,128,128,0.000030190,0.003948635,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Producer,1,128,128,0.000030190,0.003948635,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Consumer,0,256,256,0.000057230,0.004165972,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Producer,1,256,256,0.000057230,0.004165972,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Consumer,0,512,512,0.000128870,0.003700141,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Producer,1,512,512,0.000128870,0.003700143,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Consumer,0,1024,1024,0.000226280,0.004214576,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Producer,1,1024,1024,0.000226280,0.004214576,OpenMPI
